Test Case Title,Step Action,Step Expected,Requirement ID,Priority,Tags,Pages,Story Id,Epic,Area Path,Iteration Path
"As a Doctor, I want the Clinician Portal pages to load quickly, so that I can efficiently review patient data.",I am a Doctor using the Clinician Portal | I access a page within the portal,the page loads in under 5 seconds,5.1.2.3,Must,@priority_Must @req_5.1.2.3 @HIPAA,13;14;15,c3444975-1707-4370-97ab-0c493c116d2f,,Healthcare\DayHealth,Release 1
"As a Doctor, I want the Clinician Portal to load quickly, so that I can efficiently review patient data.",I am a Doctor accessing the Clinician Portal | I navigate to a page within the portal,the page loads in under 2 seconds on average.,5.1.2.4,Should,@priority_Should @req_5.1.2.4 @HIPAA,13;14,7b482248-47bf-452e-a4a6-edb289cc900d,,Healthcare\DayHealth,Release 1
"As a Doctor, I want the clinician portal to be accessible 99.9% of the time during business hours, so that I can reliably access patient data when needed.",The clinician portal is deployed and running | I attempt to access the portal during business hours,The portal is accessible 99.9% of the time,5.1.2.5,Must,@priority_Must @req_5.1.2.5 @HIPAA,14,8a482e31-4de8-45bc-972e-ffdfc0b82b7a,,Healthcare\DayHealth,Release 1
"As a Clinician, I want the system to audit document and data changes so that I can track modifications and maintain data integrity.","I am a clinician using the portal | I add, modify, or delete a document or data","the system should track the addition, change, or deletion, including user and timestamp.",2.3.3.11;2.3.3.12;2.3.3.13;2.3.3.14;2.3.3.15;2.3.3.16,Must,@priority_Must @req_2.3.3.11 @req_2.3.3.12 @req_2.3.3.13 @req_2.3.3.14 @req_2.3.3.15 @req_2.3.3.16 @HIPAA,8,4eba10f6-82f0-4a46-9b95-204905491bf0,,Healthcare\DayHealth,Release 1
"As a Clinician, I want the system to audit document and data changes so that I can track modifications and maintain data integrity.",I am a clinician using the portal | I request an audit report,"the system should generate a report showing the auditing history, either per user or per patient.",2.3.3.11;2.3.3.12;2.3.3.13;2.3.3.14;2.3.3.15;2.3.3.16,Must,@priority_Must @req_2.3.3.11 @req_2.3.3.12 @req_2.3.3.13 @req_2.3.3.14 @req_2.3.3.15 @req_2.3.3.16 @HIPAA,8,4eba10f6-82f0-4a46-9b95-204905491bf0,,Healthcare\DayHealth,Release 1
"As a Clinician, I want the system to audit document and data changes so that I can track modifications and maintain data integrity.",I am a clinician using the portal | I request to export an auditing history,the system should allow me to export the auditing history.,2.3.3.11;2.3.3.12;2.3.3.13;2.3.3.14;2.3.3.15;2.3.3.16,Must,@priority_Must @req_2.3.3.11 @req_2.3.3.12 @req_2.3.3.13 @req_2.3.3.14 @req_2.3.3.15 @req_2.3.3.16 @HIPAA,8,4eba10f6-82f0-4a46-9b95-204905491bf0,,Healthcare\DayHealth,Release 1
"As a Clinician, I want fingerprint scanning to return results quickly, so that I can efficiently access the system.",the clinician is using the fingerprint scanner | the clinician initiates a fingerprint scan,the system returns results within 1 second,5.1.3.2,Must,@priority_Must @req_5.1.3.2,14,9c0a8fef-46d8-4db1-a1e9-5b3de8984004,,Healthcare\DayHealth,Release 1
"As a Clinician Application, I want to ensure patient information is only accessible to authorized users, so that patient privacy is maintained and HIPAA regulations are met.",A user attempts to access patient information | The user is not authorized to view the patient's information,The application will prevent the user from accessing the information.,5.2.2.1,Must,@priority_Must @req_5.2.2.1 @HIPAA,15,8217b80d-b3b0-49ef-bc65-12cce6b52deb,,Healthcare\DayHealth,Release 1
"As a System Administrator, I want the database to be encrypted at rest so that patient data is protected and compliant with HIPAA.",The system is deployed and running | Data is stored in the database,The database is encrypted at rest.,5.3.1.1,Must,@priority_Must @req_5.3.1.1 @HIPAA,15,ce16ca83-5426-4bb3-a58f-f1d109024906,,Healthcare\DayHealth,Release 1
"As a Clinician Portal User, I want all data transfers to be secured with SSL, so that patient data is protected during transmission.",I am using the Clinician Portal. | I am accessing or modifying patient information.,All data transferred between the server and my application will be done over SSL.,5.3.1.2,Must,@priority_Must @req_5.3.1.2 @HIPAA,13;15,a00ebd1f-03ef-4ed0-8841-8fb69979f15d,,Healthcare\DayHealth,Release 1
"As a System Administrator, I want the database to only be accessible by devices on the same network so that unauthorized access to sensitive patient data is prevented.",The database server is running | A connection is attempted from a device outside the network,The connection is rejected,5.3.1.3,Must,@priority_Must @req_5.3.1.3 @HIPAA,15,7b3e4bc3-5a4a-4aab-963f-5d1e6b7bec37,,Healthcare\DayHealth,Release 1
"As a System Administrator, I want the database to only be accessible by devices on the same network so that unauthorized access to sensitive patient data is prevented.",The database server is running | A connection is attempted from a device within the same network,The connection is established,5.3.1.3,Must,@priority_Must @req_5.3.1.3 @HIPAA,15,7b3e4bc3-5a4a-4aab-963f-5d1e6b7bec37,,Healthcare\DayHealth,Release 1
"As a Doctor, I want all communication between the server and Clinician Application to be done over SSL, so that patient data is transmitted securely and complies with HIPAA.",I am a Doctor using the Clinician Application. | I access or modify patient information.,All communication between the Clinician Application and the server is encrypted using SSL.,5.3.2.1,Must,@priority_Must @req_5.3.2.1 @HIPAA,13;15,0440cb0f-cea5-472b-8382-d59794355a0a,,Healthcare\DayHealth,Release 1
"As a Session App User, I want all patient information stored locally on the computer to be encrypted so that patient data is protected and compliant with HIPAA.",The Session App is running on a computer. | Patient information is stored locally on the computer.,The patient information is encrypted.,5.3.3.1,Must,@priority_Must @req_5.3.3.1 @HIPAA,15,68231c2d-de07-4259-9c47-0f712303e85a,,Healthcare\DayHealth,Release 1
"As a Session App, I want all communication with the server to be done over SSL so that patient information stored locally is secure.",The Session App is communicating with the server | Data is being transmitted between the Session App and the server,The communication must be encrypted using SSL,5.3.3.2,Must,@priority_Must @req_5.3.3.2 @HIPAA,15,fd51ae0f-0178-4c66-9f56-302100997b06,,Healthcare\DayHealth,Release 1
"As a Doctor, I want the Clinician Application to have a high aesthetic rating so that I find it visually appealing and easy to use.",the Doctor is using the Clinician Application | they interact with the user interface,the application's aesthetics should be rated at ⅘ or above by at least 85% of clinicians.,5.4.2.1,Should,@priority_Should @req_5.4.2.1,16,ef30b23c-d3b7-44b4-bae4-b205defa015b,,Healthcare\DayHealth,Release 1
"As a Doctor, I want the Clinician application to be easy to use so that I can efficiently review patient data and improve patient care.","I am a Doctor using the Clinician application. | I am performing common tasks such as reviewing patient data, updating notes, and ordering tests.","The application should be intuitive and easy to navigate, allowing me to complete tasks quickly and efficiently.",5.4.2.2,Must,@priority_Must @req_5.4.2.2 @FDA21CFR11 @HIPAA,14;16,9dba99a4-e4ce-4562-bd61-fe8e4cebee06,,Healthcare\DayHealth,Release 1
"As a Doctor, I want the Clinician application to be easy to use so that I can efficiently review patient data and improve patient care.",A survey is conducted with clinicians after using the application. | Clinicians are asked to rate the application's ease of use.,At least 80% of clinicians should rate the application at ⅘ or above for ease of use.,5.4.2.2,Must,@priority_Must @req_5.4.2.2 @FDA21CFR11 @HIPAA,14;16,9dba99a4-e4ce-4562-bd61-fe8e4cebee06,,Healthcare\DayHealth,Release 1
"As a Doctor, I want the Clinician application to be easy to learn so that I can quickly access and interpret patient data.",I am a Doctor using the Clinician application. | I am learning to use the application.,"The application should be intuitive and easy to understand, allowing me to quickly become proficient.",5.4.2.3,Must,@priority_Must @req_5.4.2.3 @FDA21CFR11 @HIPAA,8;16,6fccb2f0-462d-435f-ae62-4cdbba4c7571,,Healthcare\DayHealth,Release 1
"As a Doctor, I want the Clinician application to be easy to learn so that I can quickly access and interpret patient data.",We survey Doctors on their experience with the Clinician application. | 90% of Doctors rate the application at 4/5 or above for ease of learning.,The application meets the ease of learning requirement.,5.4.2.3,Must,@priority_Must @req_5.4.2.3 @FDA21CFR11 @HIPAA,8;16,6fccb2f0-462d-435f-ae62-4cdbba4c7571,,Healthcare\DayHealth,Release 1
"As a Facilitator, I want the Session App to have an appealing aesthetic so that I can effectively engage users during sessions.",the facilitator is using the Session App | they are interacting with the user interface,the app's aesthetics should be rated at 4/5 or above by at least 85% of facilitators.,5.4.3.1,Should,@priority_Should @req_5.4.3.1 @FDA21CFR11 @HIPAA,16,3414fb1b-9417-4da1-ad75-5a99e7eaafc4,,Healthcare\DayHealth,Release 1
"As a Nurse, I want to be able to easily add and modify patient data, so that I can accurately maintain patient records.",I am a nurse logged into the system. | I add or modify patient data.,The system should allow me to do so easily and efficiently.,5.4.3.2,Must,@priority_Must @req_5.4.3.2 @FDA21CFR11 @HIPAA,5;8;16,aef5a6f5-4f05-4edc-b7cc-0cc2400483e1,,Healthcare\DayHealth,Release 1
"As a Nurse, I want to be able to easily add and modify patient data, so that I can accurately maintain patient records.","I am a nurse. | I add, modify, or delete patient data.","The system should track these changes for auditing purposes, including user, timestamp, and specific data changed.",5.4.3.2,Must,@priority_Must @req_5.4.3.2 @FDA21CFR11 @HIPAA,5;8;16,aef5a6f5-4f05-4edc-b7cc-0cc2400483e1,,Healthcare\DayHealth,Release 1
"As a Facilitator, I want the Session App to be easy to learn so that I can quickly and effectively use it to manage sessions.",The facilitator is a new user of the Session App. | The facilitator completes the initial training and uses the app for a few sessions.,The facilitator rates the Session App at 4/5 or above for ease of learning.,5.4.3.3,Must,@priority_Must @req_5.4.3.3 @FDA21CFR11 @HIPAA,16,0d1844fe-1194-402f-982c-5ef87217e3f4,,Healthcare\DayHealth,Release 1
"As a Facilitator, I want the Session App to be easy to learn so that I can quickly and effectively use it to manage sessions.",A survey is conducted among facilitators after using the Session App. | The survey results are analyzed.,At least 90% of facilitators rate the Session App at 4/5 or above for ease of learning.,5.4.3.3,Must,@priority_Must @req_5.4.3.3 @FDA21CFR11 @HIPAA,16,0d1844fe-1194-402f-982c-5ef87217e3f4,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access patient information through a web-based Clinician Portal, so that I can efficiently review patient data and modify information in the database.",I am a Doctor logged into the Clinician Portal. | I navigate to a patient's record.,I should be able to view and modify patient information in the database.,AUTO-1,Must,@priority_Must @req_AUTO-1 @FDA21CFR11 @HIPAA,4;13,2f19080b-c4fc-4ee7-ae1a-149ad532b791,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access patient information through a web-based Clinician Portal, so that I can efficiently review patient data and modify information in the database.",I am a Doctor using the Clinician Portal. | I access the portal through a web browser.,The interface should be easy to learn and navigate quickly.,AUTO-1,Must,@priority_Must @req_AUTO-1 @FDA21CFR11 @HIPAA,4;13,2f19080b-c4fc-4ee7-ae1a-149ad532b791,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view audit reports of patient data changes, so that I can ensure data integrity and compliance with regulations.",I am a Doctor logged into the system. | I request an audit report for a specific patient.,"I should see a report showing the history of additions, changes, and deletions to the patient's documents and data, including the user who made the changes and the timestamp.",2,Must,@priority_Must @req_2 @FDA21CFR11 @HIPAA,8,cff2a72e-425d-4891-9277-503b84810b84,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view audit reports of patient data changes, so that I can ensure data integrity and compliance with regulations.",I am a Doctor logged into the system. | I request an audit report for all patients.,"I should see a report showing the history of additions, changes, and deletions to all patients' documents and data, including the user who made the changes and the timestamp.",2,Must,@priority_Must @req_2 @FDA21CFR11 @HIPAA,8,cff2a72e-425d-4891-9277-503b84810b84,,Healthcare\DayHealth,Release 1
"As a Day Health Staff, I want to digitize patient assessments and care plans, so that I can automate tracking of individuals through the program and improve the current physical workflow.",I am a Day Health Staff member. | I access the Trillium Health Day Health Manager system.,I can create and store patient assessments and care plans digitally.,1,Must,@priority_Must @req_1,4,2630be87-92a0-4589-a775-c5f4e26e35e2,,Healthcare\DayHealth,Release 1
"As a Day Health Staff, I want to digitize patient assessments and care plans, so that I can automate tracking of individuals through the program and improve the current physical workflow.",Patient assessments and care plans are stored digitally. | A patient signs in/out.,The system automatically tracks the individual's progress through the program.,1,Must,@priority_Must @req_1,4,2630be87-92a0-4589-a775-c5f4e26e35e2,,Healthcare\DayHealth,Release 1
"As a Day Health staff member, I want to digitize patient assessments and care plans, so that I can automate tracking of individuals through the program.",I am a Day Health staff member. | I access the system.,I can create and store patient assessments and care plans digitally.,1.2,Must,@priority_Must @req_1.2,4,2d2bb89c-8b78-43c3-9333-ca79f10c694c,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access the Clinician Portal so that I can review patient data stored in the database.",I am a Doctor with appropriate credentials. | I log into the system via the Clinician Portal.,I can view patient data stored in the database.,1.3,Must,@priority_Must @req_1.3 @FDA21CFR11 @HIPAA,4;5,569600a7-d599-433d-a8da-45e6a042c640,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to add, modify, or check any patient data stored in the system, so that I can effectively manage patient information.",I am logged into the system as a Doctor. | I access the patient data section.,"I should be able to add, modify, or check patient data.",1.5,Must,@priority_Must @req_1.5 @FDA21CFR11 @HIPAA,5,b70ee240-a075-4aca-a337-7677bfa78d11,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view patient data in the clinician portal so that I can efficiently review patient information and provide better care.",I am logged into the clinician portal. | I select a patient.,I can view the patient's relevant documents and clinical information in an organized manner.,2,Must,@priority_Must @req_2 @FDA21CFR11 @HIPAA,4;6,a13a3f38-09bb-424e-86a2-89d59342669a,Implement Clinician Portal,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view organized patient data in the clinician portal so that I can efficiently review patient information and make informed decisions.",I am logged into the clinician portal as a Doctor. | I select a patient.,I can view the patient's relevant documents and clinical information organized in a meaningful way.,2.1,Must,@priority_Must @req_2.1 @HIPAA,6,f0d52e99-1fe9-4d95-90ed-a582b8426fda,Implement Clinician Portal,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view patient care plans so that I can effectively review and manage patient treatment.",I am logged into the clinician portal as a Doctor. | I select a patient from the patient list.,"I can view the patient's current care plan, including updates and changes.",2.2;2.3.2.8;2.3.2.11,Must,@priority_Must @req_2.2 @req_2.3.2.8 @req_2.3.2.11 @FDA21CFR11 @HIPAA,6,2d3c7e56-665c-4979-9bea-46655b6f5722,Implement Clinician Portal,Healthcare\DayHealth,Release 1
"As a Doctor, I want the application to have tutorial documentation so that I can quickly learn how to use the system and understand proper protocols.",I am a new Doctor user of the application. | I access the application for the first time.,I am presented with tutorial documentation that explains procedures in step-by-step instructions with screenshots.,2.3,Should,@priority_Should @req_2.3,10,9303be75-30e5-4ffc-b9a4-1649388674aa,,Healthcare\DayHealth,Release 1
"As a Trillium IT Administrator, I want a way to install the database so that the system can be set up and ready for use.",I am a Trillium IT Administrator with access to the installation package | I run the database setup script,the database is installed correctly and ready to host patient and clinical information.,2.3.1.1,Must,@priority_Must @req_2.3.1.1,6;10,974710c5-6117-46d6-b719-2e3bae299c38,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access patient data in the clinician portal so that I can review patient information efficiently.",I am logged into the clinician portal. | I select a patient.,I can view the patient's relevant documents and clinical information.,2.3.1.2,Must,@priority_Must @req_2.3.1.2 @FDA21CFR11 @HIPAA,6,c1f650d5-cdd6-4e38-b0e1-37b7d276c133,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to access a clinician portal so that I can present and organize patient data from the database.",The database contains patient and clinical information. | I log into the system.,I should be able to access a clinician portal to view and organize patient data.,2.3.1.3,Must,@priority_Must @req_2.3.1.3 @FDA21CFR11 @HIPAA,6,d5bd9469-1afb-4b4d-8647-626c661b4569,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access patient care plans through the Clinician Portal, so that I can review and track updates to the plans efficiently.",I am logged into the Clinician Portal. | I select a patient.,"I can view the patient's care plan, including updates and changes.",5.1.1,Must,@priority_Must @req_5.1.1 @FDA21CFR11 @HIPAA,6;13,9e5fc573-ffd1-4f42-b8c0-ab93d354f3fd,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view the audit history of patient documents and data, so that I can ensure data integrity and compliance.",I am logged into the Clinician Portal and viewing a patient's record. | I request to view the audit history for a specific document or data element.,"I should see a report showing additions, changes, and deletions, including the user and timestamp for each action.",2.3.3,Must,@priority_Must @req_2.3.3 @FDA21CFR11 @HIPAA,8,a36c5efa-4c57-495a-af53-3195aca5e963,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view the audit history of patient documents and data, so that I can ensure data integrity and compliance.",I am logged into the Clinician Portal. | I request an audit history report for a specific user or patient.,I should be able to export the audit history in a standard format.,2.3.3,Must,@priority_Must @req_2.3.3 @FDA21CFR11 @HIPAA,8,a36c5efa-4c57-495a-af53-3195aca5e963,,Healthcare\DayHealth,Release 1
"As an IT person, I want to configure a new data piece, so that I can integrate new data sources into the system.",I am an IT person with access to the configuration settings. | I configure a new data piece.,The system stores the configuration and allows the data piece to be used for data integration.,2.3.3.1,Should,@priority_Should @req_2.3.3.1,12,0727dc20-8963-42dd-8568-6c8e8ab4d42f,,Healthcare\DayHealth,Release 1
"As an IT person, I want to edit an external data source configuration so that I can ensure the system receives the correct data.",I am logged in as an IT person. | I navigate to the external data source configuration page.,I can modify the configuration settings and save the changes.,2.3.3.2,Should,@priority_Should @req_2.3.3.2,12,10bf77db-2d1a-429d-aeae-c9f90c4b5759,,Healthcare\DayHealth,Release 1
"As a user, I want to view a list of sessions so that I can select a particular session to see more details.",The user is logged into the portal | I navigate to the sessions page,I should see a list of sessions displayed,2.3.3.3,Must,@priority_Must @req_2.3.3.3,7,b0c0a546-d260-4c3c-9fce-24983bb6c668,,Healthcare\DayHealth,Release 1
"As a user, I want to view a list of sessions so that I can select a particular session to see more details.",I am viewing the list of sessions | I select a session from the list,I should be able to see more details about the selected session,2.3.3.3,Must,@priority_Must @req_2.3.3.3,7,b0c0a546-d260-4c3c-9fce-24983bb6c668,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view a Metrics page, so that I can easily review patient data and track progress.",I am logged into the system as a Doctor. | I navigate to the Metrics page.,I should be able to view relevant patient metrics.,2.3.3.4,Should,@priority_Should @req_2.3.3.4,7,05294210-26f5-4f73-a50c-5ad0e89e1bf4,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to view overall program statistics, so that I can monitor patient progress and program effectiveness.",I am logged into the Clinician Portal. | I navigate to the program statistics section.,I can view overall program statistics.,2.3.3.4.1,Should,@priority_Should @req_2.3.3.4.1,11;16,933bb33d-1099-4396-8d5b-edf0bc4ce8f1,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to run a billing report so that I can track total dollars billed.",I am a logged-in Clinician | I initiate the billing report generation,I should be able to view a report displaying the total dollars billed.,2.3.3.4.3,Must,@priority_Must @req_2.3.3.4.3 @HIPAA,12,89ae4778-6dcb-43e6-b867-5dd9183b2348,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to view overall program statistics, so that I can monitor patient progress and program effectiveness.",I am logged into the Clinician Portal. | I navigate to the program statistics section.,"I should see overall program statistics, including average percentage attendance for ADHP (2.3.3.4.4).",2.3.3.4.4;DHM_UC_24,Should,@priority_Should @req_2.3.3.4.4 @req_DHM_UC_24,11,1f2a3c55-f8fe-4c4c-a080-9e102ecf6e5d,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to store individual notes for a session so that I can accurately document patient progress and treatment plans.",The clinician is logged into the system and viewing a specific session. | The clinician enters and saves individual notes for the session.,"The system stores the notes securely and associates them with the correct session and clinician, adhering to HIPAA regulations.",2.3.3.4.5,Must,@priority_Must @req_2.3.3.4.5 @HIPAA,7;16,6301fe0d-a335-4298-9495-b2c4a17b0331,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to view the audit history of a document, so that I can track changes and ensure data integrity.",I am a logged-in Clinician | I select a document,"I can view the audit history of the document, including who made changes and when",2.3.3.4.6,Should,@priority_Should @req_2.3.3.4.6 @FDA21CFR11 @HIPAA,11,a122b9a4-7f69-4f76-b45c-18b743c08d48,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to see Session information, so that I can review patient progress and make informed decisions.",I am logged into the system as a Doctor. | I select a particular session from the list of sessions.,"I can see Session information including Facilitator information, Time and scheduling, Attendance, and Group and Individual notes.",2.3.3.4.7,Should,@priority_Should @req_2.3.3.4.7,7,427e47c7-4cc3-4766-b332-87afd3ee144e,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view session information including facilitator, time, scheduling, attendance, and notes, so that I can effectively review patient progress and plan future care.",I am logged into the system as a Doctor and viewing a patient's page. | I select a specific session from the list of sessions.,"I should be able to see detailed session information, including facilitator information, time and scheduling, attendance, and group and individual notes.",2.3.3.5,Should,@priority_Should @req_2.3.3.5,7,6734ab19-4f4b-44c6-93d5-723d892ead5e,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view a patient's care plan, so that I can review their treatment and progress.",I am logged in as a Doctor and viewing a patient's record. | I select the option to view the patient's care plan.,I should be able to see the patient's care plan details.,2.3.3.5.1,Must,@priority_Must @req_2.3.3.5.1 @FDA21CFR11 @HIPAA,11,aca0aadf-e3fa-44eb-add5-d5d9249890cf,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access links to other patient documents within the EHR, so that I can have a comprehensive view of the patient's medical history.",I am a Doctor viewing a patient's EHR. | I am viewing a specific document within the EHR.,I should see clearly labeled links to other relevant documents for that patient.,2.3.3.5.2,Must,@priority_Must @req_2.3.3.5.2 @FDA21CFR11 @HIPAA,,a259f8fc-3fa7-4309-ac71-6ad41aefeaee,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access links to other patient documents within the EHR, so that I can have a comprehensive view of the patient's medical history.",I click on a link to another patient document. | The system redirects me.,The linked document should open within the EHR.,2.3.3.5.2,Must,@priority_Must @req_2.3.3.5.2 @FDA21CFR11 @HIPAA,,a259f8fc-3fa7-4309-ac71-6ad41aefeaee,,Healthcare\DayHealth,Release 1
"As a Facilitator, I want to check in to a session or day through a fingerprint scanner so that I can quickly and accurately record attendance.",I am a Facilitator with low system experience. | I use the fingerprint scanner to check in a participant.,The system accurately records the participant's attendance for the session or day.,2.3.3.5.3,Must,@priority_Must @req_2.3.3.5.3 @FDA21CFR11 @HIPAA,9,29783f7c-b8d7-4a25-a66a-f7c5c51282bf,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to view the audit history of a document, so that I can track changes and ensure data integrity.",I am a Clinician accessing the system. | I view a specific document.,"I can access and view the audit history for that document, including additions, changes, and deletions.",2.3.3.8.1,Must,@priority_Must @req_2.3.3.8.1 @FDA21CFR11 @HIPAA,8;11,50eeeacd-1394-4391-a4ea-c590a9af6fed,,Healthcare\DayHealth,Release 1
"As a user, I want to create new assessment types so that I can support various patient needs and data collection requirements.",I am a user with the appropriate permissions. | I navigate to the assessment types management section.,"I can create a new assessment type with relevant details (e.g., name, description, data fields).",2.3.3.9.2,Must,@priority_Must @req_2.3.3.9.2 @FDA21CFR11 @HIPAA,7,437404f5-333f-4a54-a14a-704709b66367,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to approve a Care Plan so that the patient's treatment can proceed.","A Care Plan is submitted for approval. | I, as a Clinician, review the Care Plan.",I can approve the Care Plan.,2.3.3.10.2,Must,@priority_Must @req_2.3.3.10.2 @FDA21CFR11 @HIPAA,11,ab33f4ea-adbb-48ed-82f8-0077692a3a02,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view patient documents within the application, so that I can easily access all relevant information for patient care.",I am logged in as a Doctor and viewing a patient's record. | I navigate to the 'Documents' section.,I should be able to view the patient's documents directly within the application.,2.3.3.18,Must,@priority_Must @req_2.3.3.18 @FDA21CFR11 @HIPAA,6,7ae58607-e46c-467c-b188-535e0fdf7d99,,Healthcare\DayHealth,Release 1
"As a Facilitator, I want to confirm session attendance taken through fingerprint scanner, so that I can ensure accurate attendance records.",The fingerprint scanner has recorded session attendance. | I access the system as a Facilitator.,I can review and confirm the attendance records captured by the fingerprint scanner.,2.3.3.19,Should,@priority_Should @req_2.3.3.19,9,9fe1d458-8b92-42c7-85e9-5ca13163fca7,,Healthcare\DayHealth,Release 1
"As a user, I want to add, modify, or check patient data stored in the system so that I can manage patient information effectively.","I have access to the system. | I attempt to add, modify, or check patient data.",The system allows me to perform these actions while adhering to HIPAA regulations.,2.6.3,Must,@priority_Must @req_2.6.3 @FDA21CFR11 @HIPAA,5,641f9962-307c-49f3-9364-1340cdb36c84,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to easily access and modify patient information through a web-based application, so that I can efficiently manage patient data.",I am a clinician using the Clinician Portal | I access or modify patient information,the application should be easy to learn and navigate quickly.,2.3.4.1,Must,@priority_Must @req_2.3.4.1 @FDA21CFR11 @HIPAA,13,08d4a8cc-84f3-47d4-aff1-028a8dc99c58,,Healthcare\DayHealth,Release 1
"As a Facilitator, I want a backup way to sign-in and out in case of fingerprint scanner error, so that session attendance can be accurately recorded even when the primary method fails.",The fingerprint scanner is unavailable or malfunctioning. | The Facilitator attempts to record session attendance.,"The system provides an alternative method for signing in and out, such as manual entry or code.",2.3.4.3,Must,@priority_Must @req_2.3.4.3 @HIPAA,9,3d340595-c6c5-4100-a1dc-395b2bcb141a,,Healthcare\DayHealth,Release 1
"As a Facilitator, I want to be able to override sign-in or sign-out in case of fingerprint or backup error, so that attendance can be accurately recorded even with technical issues.",The fingerprint scanner is unavailable or a backup error has occurred during sign-in/sign-out. | The Facilitator attempts to override the sign-in/sign-out process.,"The system allows the Facilitator to manually record the attendance, while maintaining an audit log of the override action.",2.3.4.4,Must,@priority_Must @req_2.3.4.4 @FDA21CFR11 @HIPAA,8,cd35ba62-501e-4019-8c87-03b32b21f49f,,Healthcare\DayHealth,Release 1
"As a Facilitator, I want the ability to create a new session so that I can schedule and manage patient activities.",I am logged in as a Facilitator. | I navigate to the session management section.,"I can create a new session with details such as date, time, participants, and session leader.",2.3.4.6,Must,@priority_Must @req_2.3.4.6,5,e03258f7-4795-47b2-ae78-bd33e98deb8f,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to check patient data stored in the system so that I can review patient information efficiently.",I am logged in as a Doctor. | I access the patient data section.,I can view patient information.,2.5.3,Must,@priority_Must @req_2.5.3 @FDA21CFR11 @HIPAA,5,3375a838-a8be-4fe0-adaa-b87b2c9f3fdb,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access patient information through the Clinician Portal so that I can review patient data efficiently.",I am a Doctor logged into the Clinician Portal. | I search for a patient.,I can view the patient's relevant documents and clinical information.,2.6.1,Must,@priority_Must @req_2.6.1 @HIPAA,6;13,c9716534-06d3-47d8-ae79-4f2f64353527,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access patient data through a web-based Clinician Portal so that I can easily review patient information.",I am a logged-in Doctor | I access the Clinician Portal,I should be able to view patient data.,2.6.2,Must,@priority_Must @req_2.6.2 @HIPAA,13;15,00641622-bb3d-445e-a065-7f391d153bae,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access patient data through a web-based Clinician Portal so that I can easily review patient information.",I am a logged-in Doctor | I access the Clinician Portal,The interface must be easy to learn and navigate quickly.,2.6.2,Must,@priority_Must @req_2.6.2 @HIPAA,13;15,00641622-bb3d-445e-a065-7f391d153bae,,Healthcare\DayHealth,Release 1
"As a new user, I want tutorial documentation so that I can learn how to use the application and understand legal and business concerns.",I am a new user of the application. | I access the application's documentation.,I should find step-by-step instructions with screenshots and in-app guidance.,2.7,Must,@priority_Must @req_2.7,10,df1f87b6-3cde-4d68-b994-b21d2150b588,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access tutorial documentation within the application, so that I can quickly learn how to use the system and understand proper protocols.",I am a new Doctor user of the application. | I access the application for the first time.,"I am presented with tutorial documentation, including step-by-step instructions, screenshots, and in-app guidance.",2.8,Should,@priority_Should @req_2.8,10,1f15797c-47ab-48b3-b4a0-3b9ee8624683,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to access the system through a web-based Clinician Portal so that I can easily access and modify patient information.",I am a Clinician with appropriate credentials | I access the Clinician Portal,I should be able to easily navigate and learn the interface to access and modify patient information.,2.8.3,Must,@priority_Must @req_2.8.3 @FDA21CFR11 @HIPAA,13,be545b08-b533-4efd-b075-79462cbd632f,,Healthcare\DayHealth,Release 1
