requirement_id,story_id,epic,priority,scenario_id,tags,pages
2.3.3.5.2,a259f8fc-3fa7-4309-ac71-6ad41aefeaee,,Must,a259f8fc-3fa7-4309-ac71-6ad41aefeaee_AC2,@priority_Must @req_2.3.3.5.2 @FDA21CFR11 @HIPAA,
2.3.3.5.3,29783f7c-b8d7-4a25-a66a-f7c5c51282bf,,Must,29783f7c-b8d7-4a25-a66a-f7c5c51282bf_AC1,@priority_Must @req_2.3.3.5.3 @FDA21CFR11 @HIPAA,9
2.3.3.8.1,50eeeacd-1394-4391-a4ea-c590a9af6fed,,Must,50eeeacd-1394-4391-a4ea-c590a9af6fed_AC1,@priority_Must @req_2.3.3.8.1 @FDA21CFR11 @HIPAA,8;11
2.3.3.9.2,437404f5-333f-4a54-a14a-704709b66367,,Must,437404f5-333f-4a54-a14a-704709b66367_AC1,@priority_Must @req_2.3.3.9.2 @FDA21CFR11 @HIPAA,7
2.3.3.10.2,ab33f4ea-adbb-48ed-82f8-0077692a3a02,,Must,ab33f4ea-adbb-48ed-82f8-0077692a3a02_AC1,@priority_Must @req_2.3.3.10.2 @FDA21CFR11 @HIPAA,11
2.3.3.18,7ae58607-e46c-467c-b188-535e0fdf7d99,,Must,7ae58607-e46c-467c-b188-535e0fdf7d99_AC1,@priority_Must @req_2.3.3.18 @FDA21CFR11 @HIPAA,6
2.3.3.19,9fe1d458-8b92-42c7-85e9-5ca13163fca7,,Should,9fe1d458-8b92-42c7-85e9-5ca13163fca7_AC1,@priority_Should @req_2.3.3.19,9
2.6.3,641f9962-307c-49f3-9364-1340cdb36c84,,Must,641f9962-307c-49f3-9364-1340cdb36c84_AC1,@priority_Must @req_2.6.3 @FDA21CFR11 @HIPAA,5
2.3.4.1,08d4a8cc-84f3-47d4-aff1-028a8dc99c58,,Must,08d4a8cc-84f3-47d4-aff1-028a8dc99c58_AC1,@priority_Must @req_2.3.4.1 @FDA21CFR11 @HIPAA,13
2.3.4.3,3d340595-c6c5-4100-a1dc-395b2bcb141a,,Must,3d340595-c6c5-4100-a1dc-395b2bcb141a_AC1,@priority_Must @req_2.3.4.3 @HIPAA,9
2.3.4.4,cd35ba62-501e-4019-8c87-03b32b21f49f,,Must,cd35ba62-501e-4019-8c87-03b32b21f49f_AC1,@priority_Must @req_2.3.4.4 @FDA21CFR11 @HIPAA,8
2.3.4.6,e03258f7-4795-47b2-ae78-bd33e98deb8f,,Must,e03258f7-4795-47b2-ae78-bd33e98deb8f_AC1,@priority_Must @req_2.3.4.6,5
2.5.3,3375a838-a8be-4fe0-adaa-b87b2c9f3fdb,,Must,3375a838-a8be-4fe0-adaa-b87b2c9f3fdb_AC1,@priority_Must @req_2.5.3 @FDA21CFR11 @HIPAA,5
2.6.1,c9716534-06d3-47d8-ae79-4f2f64353527,,Must,c9716534-06d3-47d8-ae79-4f2f64353527_AC1,@priority_Must @req_2.6.1 @HIPAA,6;13
2.6.2,00641622-bb3d-445e-a065-7f391d153bae,,Must,00641622-bb3d-445e-a065-7f391d153bae_AC1,@priority_Must @req_2.6.2 @HIPAA,13;15
2.6.2,00641622-bb3d-445e-a065-7f391d153bae,,Must,00641622-bb3d-445e-a065-7f391d153bae_AC2,@priority_Must @req_2.6.2 @HIPAA,13;15
2.7,df1f87b6-3cde-4d68-b994-b21d2150b588,,Must,df1f87b6-3cde-4d68-b994-b21d2150b588_AC1,@priority_Must @req_2.7,10
2.8,1f15797c-47ab-48b3-b4a0-3b9ee8624683,,Should,1f15797c-47ab-48b3-b4a0-3b9ee8624683_AC1,@priority_Should @req_2.8,10
2.8.3,be545b08-b533-4efd-b075-79462cbd632f,,Must,be545b08-b533-4efd-b075-79462cbd632f_AC1,@priority_Must @req_2.8.3 @FDA21CFR11 @HIPAA,13
3,65c3f511-b6a1-4f6c-8bf8-60ce424133c2,,Must,65c3f511-b6a1-4f6c-8bf8-60ce424133c2_AC1,@priority_Must @req_3 @FDA21CFR11 @HIPAA,11
4,084b874b-e00d-4f7c-aabc-8161029574d1,,Should,084b874b-e00d-4f7c-aabc-8161029574d1_AC1,@priority_Should @req_4,12;13
4.1,65fa9a40-2b58-4a22-a4ab-c1a86c3509d1,,Must,65fa9a40-2b58-4a22-a4ab-c1a86c3509d1_AC1,@priority_Must @req_4.1 @HIPAA,11;13
4.3.1,8cbe08d1-8690-4095-9dda-3282c54ce51c,,Must,8cbe08d1-8690-4095-9dda-3282c54ce51c_AC1,@priority_Must @req_4.3.1 @FDA21CFR11 @HIPAA,8
4.4.1,dadaf903-68a9-4c4f-ada8-2c1d183f6d35,,Must,dadaf903-68a9-4c4f-ada8-2c1d183f6d35_AC1,@priority_Must @req_4.4.1 @HIPAA,15
5,bd869b36-1221-43db-aaff-36ad08100b5f,,Must,bd869b36-1221-43db-aaff-36ad08100b5f_AC1,@priority_Must @req_5,13;14
5.1,4aa7ed69-11ff-4ecd-9870-904762d26a1d,,Must,4aa7ed69-11ff-4ecd-9870-904762d26a1d_AC1,@priority_Must @req_5.1,13;14
5.1,4aa7ed69-11ff-4ecd-9870-904762d26a1d,,Must,4aa7ed69-11ff-4ecd-9870-904762d26a1d_AC2,@priority_Must @req_5.1,13;14
5.1,4aa7ed69-11ff-4ecd-9870-904762d26a1d,,Must,4aa7ed69-11ff-4ecd-9870-904762d26a1d_AC3,@priority_Must @req_5.1,13;14
5.1.1.1,ff37c065-154f-4c46-b014-b99fb12e4316,,Must,ff37c065-154f-4c46-b014-b99fb12e4316_AC1,@priority_Must @req_5.1.1.1 @HIPAA,8;13;14
5.1.2,9a36b1ee-200a-4aae-80fc-554f662a5240,,Must,9a36b1ee-200a-4aae-80fc-554f662a5240_AC1,@priority_Must @req_5.1.2 @FDA21CFR11 @HIPAA,4
5.1.3,3bd45bdc-52a5-4dcf-ad05-78cb739eb528,,Must,3bd45bdc-52a5-4dcf-ad05-78cb739eb528_AC1,@priority_Must @req_5.1.3,5
5.1.3.3,9699e889-b138-497f-8da6-c8f2c546d64c,,Must,9699e889-b138-497f-8da6-c8f2c546d64c_AC1,@priority_Must @req_5.1.3.3 @HIPAA,5
5.2,85418a4e-446b-4143-b597-1e50fcd349cd,,Should,85418a4e-446b-4143-b597-1e50fcd349cd_AC1,@priority_Should @req_5.2,14;15
5.2,85418a4e-446b-4143-b597-1e50fcd349cd,,Should,85418a4e-446b-4143-b597-1e50fcd349cd_AC2,@priority_Should @req_5.2,14;15
5.2,85418a4e-446b-4143-b597-1e50fcd349cd,,Should,85418a4e-446b-4143-b597-1e50fcd349cd_AC3,@priority_Should @req_5.2,14;15
5.2.1,b92a4e5f-a742-4785-8420-334e719684ab,,Must,b92a4e5f-a742-4785-8420-334e719684ab_AC1,@priority_Must @req_5.2.1 @FDA21CFR11 @HIPAA,6;13
5.2.1.1,dc3d8271-c4be-4dbd-840c-db204664d3a9,,Must,dc3d8271-c4be-4dbd-840c-db204664d3a9_AC1,@priority_Must @req_5.2.1.1 @HIPAA,13;15
5.2.2,ef9b62f9-1265-4c4d-aed0-dee12c80aefc,,Must,ef9b62f9-1265-4c4d-aed0-dee12c80aefc_AC1,@priority_Must @req_5.2.2 @FDA21CFR11 @HIPAA,4
5.2.3.1,1ac23ddd-f53b-4206-ad19-3ca5605a90b1,,Must,1ac23ddd-f53b-4206-ad19-3ca5605a90b1_AC1,@priority_Must @req_5.2.3.1 @FDA21CFR11 @HIPAA,8;14
5.3,3271bd4a-0bc7-460c-a392-7b618509a8f2,,Must,3271bd4a-0bc7-460c-a392-7b618509a8f2_AC1,@priority_Must @req_5.3,13;15
5.3.1,b15bcd67-787b-445e-8b42-c21c5bb270fa,,Must,b15bcd67-787b-445e-8b42-c21c5bb270fa_AC1,@priority_Must @req_5.3.1 @HIPAA,6;13
5.3.2,f06ef03b-9632-42c6-b117-4d0ad8c098f8,,Must,f06ef03b-9632-42c6-b117-4d0ad8c098f8_AC1,@priority_Must @req_5.3.2 @FDA21CFR11 @HIPAA,4
5.3.3,4dbede1a-3d42-4949-a4a3-5aa5bec93eab,,Must,4dbede1a-3d42-4949-a4a3-5aa5bec93eab_AC1,@priority_Must @req_5.3.3,5
5.3.3,4dbede1a-3d42-4949-a4a3-5aa5bec93eab,,Must,4dbede1a-3d42-4949-a4a3-5aa5bec93eab_AC2,@priority_Must @req_5.3.3,5
5.3.3,4dbede1a-3d42-4949-a4a3-5aa5bec93eab,,Must,4dbede1a-3d42-4949-a4a3-5aa5bec93eab_AC3,@priority_Must @req_5.3.3,5
5.4,1f0babdc-7ab3-4acb-9476-e4c829c6f662,,Must,1f0babdc-7ab3-4acb-9476-e4c829c6f662_AC1,@priority_Must @req_5.4 @FDA21CFR11 @HIPAA,8;15
5.4,1f0babdc-7ab3-4acb-9476-e4c829c6f662,,Must,1f0babdc-7ab3-4acb-9476-e4c829c6f662_AC2,@priority_Must @req_5.4 @FDA21CFR11 @HIPAA,8;15
5.4.1,3918a7a1-8d89-44ef-84e1-f6c86c5d7b66,,Must,3918a7a1-8d89-44ef-84e1-f6c86c5d7b66_AC1,@priority_Must @req_5.4.1 @FDA21CFR11 @HIPAA,6;13
5.4.1.1,4246c8f4-e5ad-4a05-a704-fe8c5127152e,,Must,4246c8f4-e5ad-4a05-a704-fe8c5127152e_AC1,@priority_Must @req_5.4.1.1,6;11;13
5.4.1.2,4b3aa627-8d93-433f-9189-fcd1de80e9c8,,Must,4b3aa627-8d93-433f-9189-fcd1de80e9c8_AC1,@priority_Must @req_5.4.1.2,15
5.4.2,dcca3410-e2cd-48f3-8658-325a412eb531,,Must,dcca3410-e2cd-48f3-8658-325a412eb531_AC1,@priority_Must @req_5.4.2 @FDA21CFR11 @HIPAA,4
5.4.3,85a4042f-8972-40b9-8def-ef8d803315ab,,Must,85a4042f-8972-40b9-8def-ef8d803315ab_AC1,@priority_Must @req_5.4.3 @FDA21CFR11 @HIPAA,5
1,4cacda81-286c-46f1-be12-7ff5626221dd,,Must,4cacda81-286c-46f1-be12-7ff5626221dd_AC1,@priority_Must @req_1 @FDA21CFR11 @HIPAA,4;16
